id,is_correct,lat,lon,name,type,verified
639,True,7.88163766667,98.2993734167,ถังถูกตรวจพบอัตโนมัติ,plastic,True
642,True,7.8993775,98.310267,ถังถูกตรวจพบอัตโนมัติ,plastic,True
643,True,7.902602625,98.30493725,ถังถูกตรวจพบอัตโนมัติ,plastic,True
646,True,7.8811225,98.3002330417,ถังถูกตรวจพบอัตโนมัติ,plastic,True
648,True,7.89082958333,98.3037056667,ถังถูกตรวจพบอัตโนมัติ,plastic,True
649,True,7.88275358333,98.29946925,ถังถูกตรวจพบอัตโนมัติ,plastic,True
650,True,7.896057875,98.3034093333,ถังถูกตรวจพบอัตโนมัติ,plastic,True
651,True,7.88399370833,98.301395625,ถังถูกตรวจพบอัตโนมัติ,plastic,True
652,True,7.905819375,98.2981954583,ถังถูกตรวจพบอัตโนมัติ,plastic,True
653,True,7.90320558333,98.3058873333,ถังถูกตรวจพบอัตโนมัติ,plastic,True
654,True,7.89834858333,98.310598625,ถังถูกตรวจพบอัตโนมัติ,plastic,True
662,True,7.88151370833,98.2999622917,ถังถูกตรวจพบอัตโนมัติ,plastic,True
664,True,7.90533166667,98.299964875,ถังถูกตรวจพบอัตโนมัติ,plastic,True
666,True,7.899256125,98.3062190833,ถังถูกตรวจพบอัตโนมัติ,plastic,True
667,True,7.89152879167,98.300840375,ถังถูกตรวจพบอัตโนมัติ,plastic,True
